R,G,B,Class
205,127,99,o
204,126,98,o
204,125,98,o
203,124,97,o
202,123,96,o
202,122,96,o
201,121,95,o
201,121,95,o
200,120,95,o
200,119,95,o
200,119,96,o
199,121,98,o
199,124,104,o
200,136,118,o
208,163,144,o
215,187,166,o
215,194,172,o
214,196,175,o
213,197,176,o
212,197,177,o
212,199,179,o
211,200,181,o
212,201,183,o
211,201,183,o
211,201,184,o
212,202,186,o
213,202,187,o
214,203,189,o
216,205,193,o
216,205,193,o
215,204,191,o
213,201,187,o
212,199,185,o
211,198,184,o
210,197,182,o
210,197,182,o
209,196,181,o
209,196,181,o
209,196,182,o
209,196,181,o
209,195,180,o
209,194,178,o
209,195,178,o
210,195,178,o
211,195,178,o
211,194,177,o
211,195,177,o
211,193,174,o
212,192,172,o
214,192,171,o
215,189,166,o
212,173,148,o
207,139,112,o
207,125,100,o
208,122,97,o
208,120,96,o
209,119,95,o
209,119,95,o
209,118,94,o
209,118,94,o
209,117,93,o
209,116,93,o
209,116,92,o
209,116,92,o
209,115,92,o
208,115,92,o
208,115,92,o
207,115,92,o
206,115,93,o
205,115,93,o
204,115,94,o
202,116,95,o
201,117,96,o
199,118,98,o
197,121,100,o
195,125,104,o
194,136,114,o
199,169,145,o
203,179,157,o
204,182,161,o
204,183,162,o
204,184,163,o
204,184,163,o
204,184,164,o
203,185,164,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
202,185,165,o
202,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
203,185,165,o
203,186,165,o
203,186,165,o
203,186,165,o
203,186,165,o
202,186,165,o
202,186,165,o
201,186,166,o
201,186,166,o
201,187,166,o
201,187,166,o
201,187,165,o
201,186,165,o
201,186,165,o
201,186,164,o
201,186,164,o
201,185,162,o
202,183,159,o
